operation_id,date_id,location_id,service_type,total_capacity,utilized_capacity,fulfillment_status,cycle_time_hours
OPS-000382,20240309,LOC-009,Catering,51,42,Delivered,3.5
OPS-000383,20250127,LOC-010,Event Hosting,112,68,Delivered,7.6
OPS-000384,20240325,LOC-002,Logistics,111,62,Delivered,30.3
OPS-000385,20240923,LOC-009,Event Hosting,149,137,Delayed,10.8
OPS-000386,20240309,LOC-008,Logistics,68,42,Delayed,24.7
OPS-000387,20250902,LOC-007,Catering,66,40,Delivered,26.6
OPS-000388,20241212,LOC-003,Catering,118,107,Delivered,14.3
OPS-000389,20251228,LOC-002,Facility Mgmt,166,148,Delivered,45.6
OPS-000390,20260715,LOC-007,Catering,130,92,Delivered,40.6
OPS-000391,20251103,LOC-005,Catering,88,64,Delivered,35.0
OPS-000392,20250226,LOC-006,Facility Mgmt,85,51,Delayed,4.7
OPS-000393,20250828,LOC-004,Facility Mgmt,181,97,Delayed,6.0
OPS-000394,20240622,LOC-002,Logistics,78,60,Delivered,24.2
OPS-000395,20251107,LOC-009,Catering,100,54,Delivered,8.6
OPS-000396,20240424,LOC-003,Logistics,63,45,Delayed,47.0
OPS-000397,20240807,LOC-007,Logistics,118,112,Delivered,8.5
OPS-000398,20240131,LOC-008,Event Hosting,195,186,Delivered,23.9
OPS-000399,20250606,LOC-002,Catering,106,65,Delivered,18.1
OPS-000400,20241208,LOC-006,Catering,61,48,Delivered,31.1
